Paikka,Tiistai,Keskiviikko,Torstai,Perjantai,Lauantai
Jyväskylä,7,7,5,8,9
Helsinki,6,7,9,11,11
Espoo,6,9,10,11,11
Tampere,6,8,9,6,9
Vantaa,7,9,11,11,11
Oulu,6,3,4,6,7
Turku,6,9,9,10,11
Kuopio,5,3,5,8,7
Lahti,7,8,7,9,9
Kouvola,7,8,7,9,9
Pori,5,8,8,9,9
Joensuu,4,5,4,7,5
Lappeenranta,5,5,5,8,7
Hämeenlinna,6,8,9,8,10
Vaasa,4,7,7,9,7
Rovaniemi,8,4,4,6,6
Seinäjoki,5,8,8,8,8
Mikkeli,8,6,4,9,9
Kotka,5,7,6,9,8
Salo,6,9,9,9,11
Porvoo,8,9,10,10,11
Lohja,6,8,9,9,12
Kokkola,5,6,4,7,7
Hyvinkää,7,9,10,9,11
Nurmijärvi,7,9,10,10,11
Järvenpää,7,9,11,10,11
Rauma,5,6,7,7,7
Kirkkonummi,6,9,10,10,12
Tuusula,7,9,11,10,11
Kajaani,6,5,4,6,5
Savonlinna,5,4,4,8,7
Kerava,7,9,11,10,11
Nokia,6,8,9,7,9
Ylöjärvi,6,8,9,6,9
Kaarina,6,8,9,10,11
Kangasala,6,7,7,6,8
Riihimäki,6,9,9,9,11
Vihti,6,8,9,10,12
Raasepori,6,8,10,9,11
Imatra,6,4,4,7,7
Raahe,8,4,3,6,6
Sastamala,6,8,9,8,9
Raisio,6,9,9,11,11
Tornio,6,6,5,7,7
Lempäälä,6,8,10,7,9
Iisalmi,6,4,4,6,5
Kemi,5,4,5,7,7
Hollola,7,8,7,9,9
Jämsä,7,7,6,8,9
Varkaus,7,3,6,8,7
